,Area,Production,Rainfall,Season,Temperature,Crop
57367,348.0,192.0,231.1856666666667,Kharif,27.40066666666667,Arhar/Tur
86290,81861.0,16624.0,97.67333333333336,Kharif,27.63666666666667,Urad
57178,181235.0,517970.0,98.455,Kharif,29.22,Rice
105917,2.0,1.0,226.7516666666667,Kharif,26.78066666666667,Groundnut
76314,20.0,22.0,191.65200000000002,Kharif,26.23633333333333,Dry chillies
68723,254.0,470.0,197.88475,Summer,30.14775,Maize
84378,24.0,21.0,140.9896666666667,Kharif,28.246,Urad
52656,23000.0,18000.0,101.98825,Autumn,24.6535,Rice
37804,3973.0,9703.0,71.75800000000002,Autumn,24.916999999999998,Maize
79060,311.0,111.0,102.36966594328699,Whole Year,28.7991490162037,Dry chillies
68073,20.0,20.0,280.27875,Summer,30.1395,Moong(Green Gram)
93919,14662.0,13090.0,10.1745,Rabi,20.26475,Gram
90730,8584.0,1794.0,144.363,Kharif,23.88133333333333,Arhar/Tur
89151,52.0,36.0,162.40894806737083,Whole Year,26.96494021870178,Dry chillies
48866,13.0,10.0,132.89600000000002,Kharif,28.84666666666667,Moong(Green Gram)
54752,3955.0,1545.0,16.15275,Rabi,22.1165,Rapeseed &Mustard
55641,85502.0,52140.0,14.75625,Rabi,21.31625,Gram
21742,4303.0,34510.0,48.82899999999999,Rabi,21.3085,Potato
33030,132.0,100.0,76.48133333333334,Kharif,26.98433333333333,Groundnut
16871,1139.0,775.0,210.13966666666667,Kharif,23.41233333333334,Arhar/Tur
84297,16238.0,14554.0,139.143,Kharif,28.83166666666667,Arhar/Tur
96444,16900.0,13300.0,142.1136666666667,Kharif,26.12233333333333,Jowar
88751,2437.0,1799.0,434.3133333333333,Kharif,24.46266666666666,Jowar
14500,86400.0,41000.0,121.7773333333333,Kharif,23.263333333333332,Groundnut
90836,935.0,1558.0,348.92400000000015,Kharif,26.72533333333334,Maize
35899,50.0,2.0,128.7673333333333,Kharif,27.47433333333333,Jowar
53754,14641.0,5244.0,137.567,Kharif,25.49766666666666,Sesamum
5850,4300.0,1500.0,202.437,Kharif,26.94,Arhar/Tur
51183,636.0,1839.0,130.22975,Summer,25.76875,Maize
57858,5975.0,7453.0,106.5596666666667,Kharif,29.03466666666667,Arhar/Tur
28691,258.0,68.9,15.212,Winter,23.76149999999999,Rapeseed &Mustard
54383,120.0,98.0,52.114966379137364,Whole Year,29.15651695732356,Dry chillies
25712,11.0,77012.30591908224,10.2915,Rabi,19.79125,Gram
78539,4297.0,1439.0,103.5340884600675,Whole Year,28.60037285748993,Dry chillies
40003,222.0,12594.0,90.82357041677255,Whole Year,27.28217197228181,Sugarcane
71548,14170.0,11661.0,217.3033333333334,Kharif,26.51566666666666,Jowar
26275,62.0,91.0,176.674,Kharif,28.25133333333333,Jowar
106399,2104.0,2495.0,135.6973333333333,Kharif,26.749000000000002,Jowar
32652,18171.0,8264.0,64.12225,Autumn,24.27525,Rice
100865,1941.0,229.0,73.00875,Rabi,24.67075,Moong(Green Gram)
17721,47.0,74.0,219.4105,Summer,30.61775,Maize
102445,889.0,343.0,161.38133333333332,Kharif,24.80533333333334,Sesamum
58567,7832.0,2472.0,159.7336666666667,Kharif,26.10533333333333,Moong(Green Gram)
86100,837.0,2831.0,349.849,Kharif,28.18433333333333,Maize
16590,2690.0,627.0,185.22133333333332,Kharif,26.686999999999998,Moong(Green Gram)
54173,84.0,31.0,186.93833333333333,Kharif,27.94066666666667,Moong(Green Gram)
