,0,1,2,3,4,5,6,7
63,Uttar Pradesh,banda,2014,Rabi,Wheat,151692.0,2.134e-321,2.134e-321
64,Uttar Pradesh,banda,2014,Rabi,Rapeseed &Mustard,100319.0,5.4e-323,3.5e-323
65,Uttar Pradesh,banda,2014,Rabi,Potato,3948.0,2.1908829697e-314,2.1877939137e-314
66,Uttar Pradesh,barabanki,2014,Kharif,Urad,191884.0,6.95276258472015e-310,6.9527643853331e-310
67,Uttar Pradesh,barabanki,2014,Kharif,Sugarcane,9736.0,1.5e-322,0.0
68,Uttar Pradesh,barabanki,2014,Kharif,Sesamum,9381.0,3e-323,5e-324
69,Uttar Pradesh,barabanki,2014,Rabi,Wheat,165449.0,1.5e-323,5e-324
70,Uttar Pradesh,barabanki,2014,Rabi,Rapeseed &Mustard,26373.0,0.0,2.1877769005e-314
71,Uttar Pradesh,barabanki,2014,Rabi,Potato,17393.0,2.121995791e-314,9.021932611812496e+217
72,Uttar Pradesh,bareilly,2014,Kharif,Urad,162390.0,141.38666666666666,28.0
73,Uttar Pradesh,bareilly,2014,Kharif,Sugarcane,99211.0,141.38666666666666,28.0
74,Uttar Pradesh,bareilly,2014,Kharif,Sesamum,4562.0,141.38666666666666,28.0
75,Uttar Pradesh,bareilly,2014,Rabi,Wheat,212598.0,8.4075,19.240000000000002
76,Uttar Pradesh,bareilly,2014,Rabi,Rapeseed &Mustard,16545.0,8.4075,19.240000000000002
77,Uttar Pradesh,bareilly,2014,Rabi,Potato,1875.0,8.4075,19.240000000000002
78,Uttar Pradesh,basti,2014,Kharif,Urad,104328.0,201.00703333333334,28.173000000000002
79,Uttar Pradesh,basti,2014,Kharif,Sugarcane,36515.0,201.00703333333334,28.173000000000002
80,Uttar Pradesh,basti,2014,Kharif,Sesamum,2647.0,201.00703333333334,28.173000000000002
81,Uttar Pradesh,basti,2014,Rabi,Wheat,119630.0,17.360750000000003,20.0795
82,Uttar Pradesh,basti,2014,Rabi,Rapeseed &Mustard,2545.0,17.360750000000003,20.0795
83,Uttar Pradesh,basti,2014,Rabi,Potato,2435.0,17.360750000000003,20.0795
84,Uttar Pradesh,bijnor,2014,Kharif,Urad,212471.0,2.1877770744e-314,2.964e-321
85,Uttar Pradesh,bijnor,2014,Kharif,Sugarcane,54742.0,2.121995791e-314,4.4e-323
86,Uttar Pradesh,bijnor,2014,Kharif,Sesamum,1938.0,2.190883181e-314,2.187793917e-314
87,Uttar Pradesh,bijnor,2014,Rabi,Wheat,116552.0,0.0,6.9527643853331e-310
88,Uttar Pradesh,bijnor,2014,Rabi,Rapeseed &Mustard,2422.0,0.0,5e-324
89,Uttar Pradesh,bijnor,2014,Rabi,Potato,861.0,0.0,1.114168480773843e+218
90,Uttar Pradesh,budaun,2014,Kharif,Urad,81242.0,0.0,9.45956264658009e-76
91,Uttar Pradesh,budaun,2014,Kharif,Sugarcane,29629.0,0.0,2.1877769005e-314
92,Uttar Pradesh,budaun,2014,Kharif,Sesamum,26551.0,0.0,1.4213781931909134e-76
93,Uttar Pradesh,budaun,2014,Rabi,Wheat,255586.0,0.0,3.32e-321
94,Uttar Pradesh,budaun,2014,Rabi,Rapeseed &Mustard,23984.0,0.0,1.5e-323
95,Uttar Pradesh,budaun,2014,Rabi,Potato,15112.0,0.0,2.187793917e-314
96,Uttar Pradesh,chandauli,2014,Kharif,Urad,102598.0,0.0,6.9527643853333e-310
97,Uttar Pradesh,chandauli,2014,Kharif,Sugarcane,4641.0,0.0,1.970979839272873e-153
98,Uttar Pradesh,chandauli,2014,Kharif,Sesamum,645.0,0.0,3.6297763224019294e+228
99,Uttar Pradesh,chandauli,2014,Rabi,Wheat,95462.0,0.0,2.973270613151606e+222
100,Uttar Pradesh,chandauli,2014,Rabi,Rapeseed &Mustard,1289.0,0.0,2.1877759677e-314
101,Uttar Pradesh,chandauli,2014,Rabi,Potato,881.0,0.0,6.111360357604244e+223
102,Uttar Pradesh,chitrakoot,2014,Kharif,Urad,12662.0,0.0,3.676e-321
103,Uttar Pradesh,chitrakoot,2014,Kharif,Sugarcane,12446.0,0.0,3.5e-323
104,Uttar Pradesh,chitrakoot,2014,Kharif,Sesamum,11800.0,0.0,2.187793917e-314
105,Uttar Pradesh,chitrakoot,2014,Rabi,Wheat,54500.0,0.0,6.95276438534437e-310
106,Uttar Pradesh,chitrakoot,2014,Rabi,Rapeseed &Mustard,45595.0,0.0,0.0
107,Uttar Pradesh,chitrakoot,2014,Rabi,Potato,3794.0,0.0,1.5e-323
108,Uttar Pradesh,deoria,2014,Kharif,Urad,132892.0,0.0,1e-323
109,Uttar Pradesh,deoria,2014,Kharif,Sugarcane,8996.0,0.0,2.1877759677e-314
110,Uttar Pradesh,deoria,2014,Kharif,Sesamum,5314.0,0.0,1.497825491409077e+179
111,Uttar Pradesh,deoria,2014,Rabi,Wheat,155105.0,0.0,2.1877939043e-314
112,Uttar Pradesh,deoria,2014,Rabi,Rapeseed &Mustard,1802.0,0.0,2.1877939137e-314
113,Uttar Pradesh,deoria,2014,Rabi,Potato,1626.0,0.0,2.1877939137e-314
114,Uttar Pradesh,etah,2014,Kharif,Urad,20898.0,0.0,2.187793917e-314
115,Uttar Pradesh,etah,2014,Kharif,Sugarcane,18244.0,0.0,0.0
116,Uttar Pradesh,etah,2014,Kharif,Sesamum,855.0,2.190883181e-314,4.03e-321
117,Uttar Pradesh,etah,2014,Rabi,Wheat,133604.0,3.043e-321,1e-323
118,Uttar Pradesh,etah,2014,Rabi,Rapeseed &Mustard,10016.0,5.4e-323,2.187793917e-314
119,Uttar Pradesh,etah,2014,Rabi,Potato,7388.0,2.190883178e-314,6.9527643853345e-310
120,Uttar Pradesh,etawah,2014,Kharif,Urad,52797.0,123.23666666666668,28.063333333333333
121,Uttar Pradesh,etawah,2014,Kharif,Sugarcane,4787.0,123.23666666666668,28.063333333333333
122,Uttar Pradesh,etawah,2014,Kharif,Sesamum,1687.0,123.23666666666668,28.063333333333333
123,Uttar Pradesh,etawah,2014,Rabi,Wheat,96640.0,6.4125,19.487499999999997
124,Uttar Pradesh,etawah,2014,Rabi,Rapeseed &Mustard,17149.0,6.4125,19.487499999999997
125,Uttar Pradesh,etawah,2014,Rabi,Potato,15076.0,6.4125,19.487499999999997
126,Uttar Pradesh,faizabad,2014,Kharif,Urad,94586.0,4.624e-321,2.1877939137e-314
127,Uttar Pradesh,faizabad,2014,Kharif,Sugarcane,20004.0,1.5e-323,2.1877939137e-314
128,Uttar Pradesh,faizabad,2014,Kharif,Sesamum,2059.0,2.190883178e-314,2.187793917e-314
129,Uttar Pradesh,faizabad,2014,Rabi,Wheat,110261.0,6.9527627569787e-310,2.187793917e-314
130,Uttar Pradesh,faizabad,2014,Rabi,Rapeseed &Mustard,3926.0,4.585e-321,4.585e-321
131,Uttar Pradesh,faizabad,2014,Rabi,Potato,3859.0,5.4e-323,5.4e-323
132,Uttar Pradesh,farrukhabad,2014,Kharif,Urad,26921.0,2.1908552116e-314,2.1877939176e-314
133,Uttar Pradesh,farrukhabad,2014,Kharif,Sugarcane,11900.0,6.95276438534437e-310,6.95276438534437e-310
134,Uttar Pradesh,farrukhabad,2014,Kharif,Sesamum,7198.0,0.0,5e-324
